stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
AAPL,lgbm,60,1389,0.5111591072714183,0.4342105263157895,0.825,,0.23698277354570635
AAPL,lgbm,90,1166,0.5231560891938251,0.32407407407407407,0.7777777777777778,,0.15686918914799572
AAPL,xgb,90,1166,0.5231560891938251,0.8148148148148148,0.7457627118644068,0.5,0.4790535311564816
AAPL,xgb,60,1389,0.5111591072714183,0.5394736842105263,0.6949152542372882,0.4,0.23500998537825382
AAPL,rf,90,1166,0.5231560891938251,0.2962962962962963,0.6153846153846154,,0.10370973333936298
AAPL,knn,60,1389,0.5111591072714183,0.07894736842105263,0.5217391304347826,,0.020422910823970682
AAPL,lgbm,45,1404,0.48504273504273504,0.45185185185185184,0.5041322314049587,,0.11855410647532781
AAPL,xgb,45,1404,0.48504273504273504,0.2962962962962963,0.49382716049382713,0.5,0.07429167835303718
AAPL,lgbm,10,1439,0.24669909659485753,0.19642857142857142,0.44,,0.049095047501759324
AAPL,rf,20,1429,0.37438768369489156,0.10101010101010101,0.43478260869565216,,0.022650228028822158
AAPL,logreg,10,1439,0.24669909659485753,0.05357142857142857,0.375,,0.010366269352568612
AAPL,lgbm,20,1429,0.37438768369489156,0.40404040404040403,0.36036036036036034,,0.07457357427648574
AAPL,xgb,20,1429,0.37438768369489156,0.29292929292929293,0.34523809523809523,0.5,0.050505086229982246
AAPL,logreg,5,1484,0.12196765498652291,0.02857142857142857,0.3333333333333333,,0.004861608765643661
AAPL,knn,90,1166,0.5231560891938251,0.046296296296296294,0.2777777777777778,,0.006064311298364797
AAPL,xgb,10,1439,0.24669909659485753,0.16071428571428573,0.21951219512195122,0.3,0.018041255084876678
AAPL,knn,45,1404,0.48504273504273504,0.022222222222222223,0.2,,0.002088956536445121
AAPL,xgb,5,1484,0.12196765498652291,0.0,0.0,0.1,0.0
AAPL,rf,10,1439,0.24669909659485753,0.0,0.0,,0.0
AAPL,rf,60,1389,0.5111591072714183,0.0,0.0,,0.0
AAPL,rf,45,1404,0.48504273504273504,0.0,0.0,,0.0
AAPL,rf,5,1484,0.12196765498652291,0.0,0.0,,0.0
AAPL,knn,20,1429,0.37438768369489156,0.0,0.0,,0.0
AAPL,knn,10,1439,0.24669909659485753,0.0,0.0,,0.0
AAPL,knn,5,1484,0.12196765498652291,0.0,0.0,,0.0
AAPL,logreg,90,1166,0.5231560891938251,0.0,0.0,,0.0
AAPL,logreg,60,1389,0.5111591072714183,0.0,0.0,,0.0
AAPL,logreg,45,1404,0.48504273504273504,0.0,0.0,,0.0
AAPL,logreg,20,1429,0.37438768369489156,0.0,0.0,,0.0
AAPL,lgbm,5,1484,0.12196765498652291,0.0,0.0,,0.0
