stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
AMZN,logreg,5,1484,0.14420485175202155,0.047619047619047616,1.0,,0.024943310657596373
AMZN,knn,45,1404,0.43803418803418803,0.037037037037037035,1.0,,0.019204389574759943
AMZN,xgb,90,1166,0.4751286449399657,0.04424778761061947,1.0,0.35,0.02310282715952698
AMZN,logreg,10,1439,0.23419041000694926,0.015873015873015872,1.0,,0.008062484252960442
AMZN,knn,60,1389,0.4722822174226062,0.0196078431372549,1.0,,0.009996155324875047
AMZN,knn,20,1429,0.3547935619314206,0.22429906542056074,0.96,,0.13121091300696652
AMZN,rf,20,1429,0.3547935619314206,0.056074766355140186,0.75,,0.021972229527986876
AMZN,xgb,20,1429,0.3547935619314206,0.06542056074766354,0.7,0.5,0.024011391788016905
AMZN,xgb,10,1439,0.23419041000694926,0.015873015873015872,0.3333333333333333,0.5,0.00266397917191568
AMZN,knn,10,1439,0.23419041000694926,0.047619047619047616,0.23076923076923078,,0.005511948369091226
AMZN,logreg,90,1166,0.4751286449399657,0.0,0.0,,0.0
AMZN,rf,60,1389,0.4722822174226062,0.0,0.0,,0.0
AMZN,xgb,45,1404,0.43803418803418803,0.0,0.0,0.5,0.0
AMZN,xgb,5,1484,0.14420485175202155,0.0,0.0,0.5,0.0
AMZN,logreg,20,1429,0.3547935619314206,0.0,0.0,,0.0
AMZN,rf,90,1166,0.4751286449399657,0.0,0.0,,0.0
AMZN,rf,45,1404,0.43803418803418803,0.0,0.0,,0.0
AMZN,logreg,60,1389,0.4722822174226062,0.0,0.0,,0.0
AMZN,rf,10,1439,0.23419041000694926,0.0,0.0,,0.0
AMZN,rf,5,1484,0.14420485175202155,0.0,0.0,,0.0
AMZN,logreg,45,1404,0.43803418803418803,0.0,0.0,,0.0
AMZN,knn,90,1166,0.4751286449399657,0.0,0.0,,0.0
AMZN,knn,5,1484,0.14420485175202155,0.0,0.0,,0.0
AMZN,xgb,60,1389,0.4722822174226062,0.0,0.0,0.1,0.0
