stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
META,xgb,60,1389,0.5277177825773938,0.022058823529411766,1.0,0.3,0.011272707612456747
META,lgbm,45,1404,0.5028490028490028,0.15151515151515152,0.8333333333333334,,0.07100186325323606
META,xgb,45,1404,0.5028490028490028,0.4621212121212121,0.6224489795918368,0.1,0.17457275505927777
META,lgbm,20,1429,0.40447865640307906,0.02830188679245283,0.2727272727272727,,0.0037970484481698436
META,xgb,20,1429,0.40447865640307906,0.009433962264150943,0.14285714285714285,0.3,0.0006577497499533811
META,logreg,5,1484,0.18935309973045822,0.0,0.0,,0.0
META,logreg,10,1439,0.3036831132731063,0.0,0.0,,0.0
META,lgbm,60,1389,0.5277177825773938,0.0,0.0,,0.0
META,lgbm,10,1439,0.3036831132731063,0.0,0.0,,0.0
META,lgbm,5,1484,0.18935309973045822,0.0,0.0,,0.0
META,xgb,90,1166,0.5797598627787307,0.0,0.0,0.1,0.0
META,xgb,10,1439,0.3036831132731063,0.0,0.0,0.5,0.0
META,xgb,5,1484,0.18935309973045822,0.0,0.0,0.5,0.0
META,rf,90,1166,0.5797598627787307,0.0,0.0,,0.0
META,rf,60,1389,0.5277177825773938,0.0,0.0,,0.0
META,rf,45,1404,0.5028490028490028,0.0,0.0,,0.0
META,rf,20,1429,0.40447865640307906,0.0,0.0,,0.0
META,rf,10,1439,0.3036831132731063,0.0,0.0,,0.0
META,rf,5,1484,0.18935309973045822,0.0,0.0,,0.0
META,knn,90,1166,0.5797598627787307,0.0,0.0,,0.0
META,knn,60,1389,0.5277177825773938,0.0,0.0,,0.0
META,knn,45,1404,0.5028490028490028,0.0,0.0,,0.0
META,knn,20,1429,0.40447865640307906,0.0,0.0,,0.0
META,knn,10,1439,0.3036831132731063,0.0,0.0,,0.0
META,knn,5,1484,0.18935309973045822,0.0,0.0,,0.0
META,logreg,90,1166,0.5797598627787307,0.0,0.0,,0.0
META,logreg,60,1389,0.5277177825773938,0.0,0.0,,0.0
META,logreg,45,1404,0.5028490028490028,0.0,0.0,,0.0
META,logreg,20,1429,0.40447865640307906,0.0,0.0,,0.0
META,lgbm,90,1166,0.5797598627787307,0.0,0.0,,0.0
