stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
MSFT,logreg,10,1439,0.18693537178596248,0.1,1.0,,0.05500000000000001
MSFT,xgb,90,1166,0.5445969125214408,0.6186440677966102,0.6403508771929824,0.5,0.25060319562961536
MSFT,lgbm,5,1484,0.08086253369272237,0.07692307692307693,0.5,,0.020642345195432954
MSFT,logreg,20,1429,0.2960111966410077,0.30434782608695654,0.4883720930232558,,0.08940136735507129
MSFT,rf,90,1166,0.5445969125214408,0.4406779661016949,0.45614035087719296,,0.09107760336859344
MSFT,knn,90,1166,0.5445969125214408,0.7288135593220338,0.4365482233502538,,0.1227974315622911
MSFT,xgb,5,1484,0.08086253369272237,0.23076923076923078,0.3,0.1,0.04175035419618302
MSFT,xgb,10,1439,0.18693537178596248,0.23333333333333334,0.1044776119402985,0.1,0.012198503606001004
MSFT,rf,60,1389,0.49388048956083513,0.0,0.0,,0.0
MSFT,lgbm,60,1389,0.49388048956083513,0.0,0.0,,0.0
MSFT,lgbm,45,1404,0.4423076923076923,0.0,0.0,,0.0
MSFT,lgbm,20,1429,0.2960111966410077,0.0,0.0,,0.0
MSFT,lgbm,10,1439,0.18693537178596248,0.0,0.0,,0.0
MSFT,xgb,60,1389,0.49388048956083513,0.0,0.0,0.1,0.0
MSFT,xgb,45,1404,0.4423076923076923,0.0,0.0,0.15,0.0
MSFT,xgb,20,1429,0.2960111966410077,0.0,0.0,0.2,0.0
MSFT,rf,20,1429,0.2960111966410077,0.0,0.0,,0.0
MSFT,rf,45,1404,0.4423076923076923,0.0,0.0,,0.0
MSFT,rf,10,1439,0.18693537178596248,0.0,0.0,,0.0
MSFT,rf,5,1484,0.08086253369272237,0.0,0.0,,0.0
MSFT,knn,60,1389,0.49388048956083513,0.0,0.0,,0.0
MSFT,knn,45,1404,0.4423076923076923,0.0,0.0,,0.0
MSFT,knn,20,1429,0.2960111966410077,0.0,0.0,,0.0
MSFT,knn,10,1439,0.18693537178596248,0.0,0.0,,0.0
MSFT,knn,5,1484,0.08086253369272237,0.0,0.0,,0.0
MSFT,logreg,90,1166,0.5445969125214408,0.0,0.0,,0.0
MSFT,logreg,60,1389,0.49388048956083513,0.0,0.0,,0.0
MSFT,logreg,45,1404,0.4423076923076923,0.0,0.0,,0.0
MSFT,logreg,5,1484,0.08086253369272237,0.0,0.0,,0.0
MSFT,lgbm,90,1166,0.5445969125214408,0.0,0.0,,0.0
