stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
NVDA,rf,45,1404,0.6260683760683761,0.007407407407407408,1.0,,0.0037311385459533604
NVDA,rf,60,1389,0.6436285097192225,0.08441558441558442,0.7222222222222222,,0.031827510396320625
NVDA,knn,10,1439,0.39610840861709523,0.08139534883720931,0.6363636363636364,,0.02749369717934476
NVDA,knn,90,1166,0.7058319039451115,1.0,0.5769230769230769,,0.28846153846153844
NVDA,xgb,90,1166,0.7058319039451115,0.8814814814814815,0.5458715596330275,0.1,0.21207372169995345
NVDA,xgb,60,1389,0.6436285097192225,0.15584415584415584,0.46153846153846156,0.4,0.033447909442882215
NVDA,rf,20,1429,0.48915325402379284,0.5377358490566038,0.36538461538461536,,0.09703537051236409
NVDA,rf,90,1166,0.7058319039451115,0.35555555555555557,0.3287671232876712,,0.021371707947050414
NVDA,xgb,10,1439,0.39610840861709523,0.5581395348837209,0.2857142857142857,0.3,0.07687017639413636
NVDA,rf,10,1439,0.39610840861709523,0.4186046511627907,0.2482758620689655,,0.04567702065892981
NVDA,xgb,20,1429,0.48915325402379284,0.11320754716981132,0.20689655172413793,0.5,0.010044070168546911
NVDA,xgb,5,1484,0.28234501347708896,0.5538461538461539,0.18556701030927836,0.15,0.044851860655410115
NVDA,rf,5,1484,0.28234501347708896,0.015384615384615385,0.14285714285714285,,0.0010873874136473607
NVDA,logreg,5,1484,0.28234501347708896,0.0,0.0,,0.0
NVDA,logreg,10,1439,0.39610840861709523,0.0,0.0,,0.0
NVDA,knn,60,1389,0.6436285097192225,0.0,0.0,,0.0
NVDA,knn,45,1404,0.6260683760683761,0.0,0.0,,0.0
NVDA,knn,20,1429,0.48915325402379284,0.0,0.0,,0.0
NVDA,knn,5,1484,0.28234501347708896,0.0,0.0,,0.0
NVDA,logreg,90,1166,0.7058319039451115,0.0,0.0,,0.0
NVDA,logreg,60,1389,0.6436285097192225,0.0,0.0,,0.0
NVDA,logreg,45,1404,0.6260683760683761,0.0,0.0,,0.0
NVDA,logreg,20,1429,0.48915325402379284,0.0,0.0,,0.0
NVDA,xgb,45,1404,0.6260683760683761,0.0,0.0,0.2,0.0
