stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
QQQ,logreg,5,1484,0.06132075471698113,0.058823529411764705,1.0,,0.031141868512110725
QQQ,lgbm,5,1484,0.06132075471698113,0.058823529411764705,1.0,,0.031141868512110725
QQQ,knn,45,1404,0.47863247863247865,0.06338028169014084,0.9,,0.03012361584646189
QQQ,knn,60,1389,0.5500359971202304,0.045714285714285714,0.8888888888888888,,0.021049001607115342
QQQ,xgb,60,1389,0.5500359971202304,0.022857142857142857,0.6666666666666666,0.35,0.007645254606697048
QQQ,lgbm,45,1404,0.47863247863247865,0.056338028169014086,0.4444444444444444,,0.012324201341168685
QQQ,xgb,5,1484,0.06132075471698113,0.058823529411764705,0.3333333333333333,0.1,0.01031059482616576
QQQ,xgb,45,1404,0.47863247863247865,0.035211267605633804,0.2777777777777778,0.4,0.004605272338368147
QQQ,xgb,20,1429,0.28761371588523443,0.03773584905660377,0.15384615384615385,0.3,0.002875255583824149
QQQ,knn,20,1429,0.28761371588523443,0.018867924528301886,0.125,,0.0011660672241431205
QQQ,lgbm,20,1429,0.28761371588523443,0.018867924528301886,0.07692307692307693,,0.0007020070962304463
QQQ,rf,90,1166,0.6003430531732419,0.0,0.0,,0.0
QQQ,lgbm,60,1389,0.5500359971202304,0.0,0.0,,0.0
QQQ,lgbm,10,1439,0.13898540653231412,0.0,0.0,,0.0
QQQ,xgb,90,1166,0.6003430531732419,0.0,0.0,0.2,0.0
QQQ,xgb,10,1439,0.13898540653231412,0.0,0.0,0.5,0.0
QQQ,rf,45,1404,0.47863247863247865,0.0,0.0,,0.0
QQQ,rf,60,1389,0.5500359971202304,0.0,0.0,,0.0
QQQ,logreg,10,1439,0.13898540653231412,0.0,0.0,,0.0
QQQ,rf,20,1429,0.28761371588523443,0.0,0.0,,0.0
QQQ,rf,10,1439,0.13898540653231412,0.0,0.0,,0.0
QQQ,rf,5,1484,0.06132075471698113,0.0,0.0,,0.0
QQQ,knn,90,1166,0.6003430531732419,0.0,0.0,,0.0
QQQ,knn,10,1439,0.13898540653231412,0.0,0.0,,0.0
QQQ,knn,5,1484,0.06132075471698113,0.0,0.0,,0.0
QQQ,logreg,90,1166,0.6003430531732419,0.0,0.0,,0.0
QQQ,logreg,60,1389,0.5500359971202304,0.0,0.0,,0.0
QQQ,logreg,45,1404,0.47863247863247865,0.0,0.0,,0.0
QQQ,logreg,20,1429,0.28761371588523443,0.0,0.0,,0.0
QQQ,lgbm,90,1166,0.6003430531732419,0.0,0.0,,0.0
