stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
SPY,logreg,5,1484,0.025606469002695417,0.125,1.0,,0.0703125
SPY,knn,45,1404,0.4024216524216524,0.01834862385321101,1.0,,0.009342647925258817
SPY,lgbm,5,1484,0.025606469002695417,0.125,1.0,,0.0703125
SPY,xgb,5,1484,0.025606469002695417,0.125,1.0,0.1,0.0703125
SPY,xgb,60,1389,0.4996400287976962,0.029197080291970802,0.08695652173913043,0.1,0.0009283716151906555
SPY,lgbm,45,1404,0.4024216524216524,0.009174311926605505,0.058823529411764705,,0.00024720751649019213
SPY,xgb,45,1404,0.4024216524216524,0.009174311926605505,0.020833333333333332,0.2,7.032860263504559e-05
SPY,rf,60,1389,0.4996400287976962,0.0,0.0,,0.0
SPY,lgbm,60,1389,0.4996400287976962,0.0,0.0,,0.0
SPY,lgbm,20,1429,0.1630510846745976,0.0,0.0,,0.0
SPY,lgbm,10,1439,0.05837387074357193,0.0,0.0,,0.0
SPY,xgb,90,1166,0.5703259005145798,0.0,0.0,0.1,0.0
SPY,xgb,20,1429,0.1630510846745976,0.0,0.0,0.5,0.0
SPY,xgb,10,1439,0.05837387074357193,0.0,0.0,0.1,0.0
SPY,rf,90,1166,0.5703259005145798,0.0,0.0,,0.0
SPY,rf,45,1404,0.4024216524216524,0.0,0.0,,0.0
SPY,logreg,10,1439,0.05837387074357193,0.0,0.0,,0.0
SPY,rf,20,1429,0.1630510846745976,0.0,0.0,,0.0
SPY,rf,10,1439,0.05837387074357193,0.0,0.0,,0.0
SPY,rf,5,1484,0.025606469002695417,0.0,0.0,,0.0
SPY,knn,90,1166,0.5703259005145798,0.0,0.0,,0.0
SPY,knn,60,1389,0.4996400287976962,0.0,0.0,,0.0
SPY,knn,20,1429,0.1630510846745976,0.0,0.0,,0.0
SPY,knn,10,1439,0.05837387074357193,0.0,0.0,,0.0
SPY,knn,5,1484,0.025606469002695417,0.0,0.0,,0.0
SPY,logreg,90,1166,0.5703259005145798,0.0,0.0,,0.0
SPY,logreg,60,1389,0.4996400287976962,0.0,0.0,,0.0
SPY,logreg,45,1404,0.4024216524216524,0.0,0.0,,0.0
SPY,logreg,20,1429,0.1630510846745976,0.0,0.0,,0.0
SPY,lgbm,90,1166,0.5703259005145798,0.0,0.0,,0.0
