stock,model,horizon,n_samples,target_rate,recall,precision,decision_threshold,score_B
TSM,lgbm,10,1439,0.2828353022932592,0.010416666666666666,1.0,,0.005262586805555556
TSM,xgb,90,1166,0.5360205831903945,0.1895424836601307,1.0,0.1,0.11273441838609082
TSM,xgb,20,1429,0.3932820153953814,0.03305785123966942,1.0,0.1,0.017075336384126765
TSM,xgb,10,1439,0.2828353022932592,0.010416666666666666,1.0,0.5,0.005262586805555556
TSM,lgbm,5,1484,0.17318059299191374,0.038461538461538464,0.14285714285714285,,0.0027183569962219885
TSM,xgb,5,1484,0.17318059299191374,0.07692307692307693,0.08,0.1,0.0027359014611761864
TSM,logreg,5,1484,0.17318059299191374,0.0,0.0,,0.0
TSM,logreg,10,1439,0.2828353022932592,0.0,0.0,,0.0
TSM,lgbm,60,1389,0.5665946724262059,0.0,0.0,,0.0
TSM,lgbm,45,1404,0.5284900284900285,0.0,0.0,,0.0
TSM,lgbm,20,1429,0.3932820153953814,0.0,0.0,,0.0
TSM,xgb,60,1389,0.5665946724262059,0.0,0.0,0.2,0.0
TSM,xgb,45,1404,0.5284900284900285,0.0,0.0,0.4,0.0
TSM,rf,90,1166,0.5360205831903945,0.0,0.0,,0.0
TSM,rf,60,1389,0.5665946724262059,0.0,0.0,,0.0
TSM,rf,45,1404,0.5284900284900285,0.0,0.0,,0.0
TSM,rf,20,1429,0.3932820153953814,0.0,0.0,,0.0
TSM,rf,10,1439,0.2828353022932592,0.0,0.0,,0.0
TSM,rf,5,1484,0.17318059299191374,0.0,0.0,,0.0
TSM,knn,90,1166,0.5360205831903945,0.0,0.0,,0.0
TSM,knn,60,1389,0.5665946724262059,0.0,0.0,,0.0
TSM,knn,45,1404,0.5284900284900285,0.0,0.0,,0.0
TSM,knn,20,1429,0.3932820153953814,0.0,0.0,,0.0
TSM,knn,10,1439,0.2828353022932592,0.0,0.0,,0.0
TSM,knn,5,1484,0.17318059299191374,0.0,0.0,,0.0
TSM,logreg,90,1166,0.5360205831903945,0.0,0.0,,0.0
TSM,logreg,60,1389,0.5665946724262059,0.0,0.0,,0.0
TSM,logreg,45,1404,0.5284900284900285,0.0,0.0,,0.0
TSM,logreg,20,1429,0.3932820153953814,0.0,0.0,,0.0
TSM,lgbm,90,1166,0.5360205831903945,0.0,0.0,,0.0
