stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
AAPL,10,0.02,0.35,0.465,0.0,0.0,0.0,0.0,0.5,0.535,0.48503251864848823,0.1279342978126463,0.2124820197483882,0.7449677008016983,200,0,
AAPL,10,0.03,0.3,0.365,0.0,0.0,0.0,0.0,0.5,0.635,0.4436158875201994,0.12583010186813154,0.1781840075034364,0.6970747303138072,200,0,
AAPL,10,0.05,0.3,0.23,0.0,0.0,0.0,0.0,0.5,0.77,0.2937550424604812,0.12287004536519536,0.08867925049195263,0.6812611610910327,200,0,
AAPL,10,0.07,0.3,0.15,0.0,0.0,0.0,0.0,0.5,0.85,0.26900875745589575,0.11008314627769475,0.029898098507322324,0.6013810168966237,200,0,
AAPL,20,0.02,0.5499999999999999,0.535,0.0,0.0,0.0,0.0,0.5,0.465,0.5437764799062077,0.19052906352699517,0.10284160785509139,0.840154166210841,200,0,
AAPL,20,0.03,0.5499999999999999,0.485,0.0,0.0,0.0,0.0,0.5,0.515,0.4755207091092652,0.1610961359913731,0.12707925712176651,0.7392438181884686,200,0,
AAPL,20,0.05,0.39999999999999997,0.405,0.0,0.0,0.0,0.0,0.5,0.595,0.38736383333347574,0.15125073726933963,0.12408756609277369,0.719629232573134,200,0,
AAPL,20,0.07,0.39999999999999997,0.32,0.0,0.0,0.0,0.0,0.5,0.68,0.3221317789330315,0.1414998600975638,0.061721077330387585,0.6213878790397183,200,0,
AAPL,30,0.02,0.6499999999999999,0.54,0.0,0.0,0.0,0.0,0.5,0.46,0.5515958661048598,0.1995176276062849,0.11224695912708883,0.8230694491957273,200,0,
AAPL,30,0.03,0.49999999999999994,0.485,0.0,0.0,0.0,0.0,0.5,0.515,0.483707710942189,0.17642654401158026,0.138875980027058,0.799148159359783,200,0,
AAPL,30,0.05,0.44999999999999996,0.41,0.0,0.0,0.0,0.0,0.5,0.59,0.40067123536153604,0.16676210950679868,0.041269165387032944,0.7848430765349799,200,0,
AAPL,30,0.07,0.3,0.345,0.0,0.0,0.0,0.0,0.5,0.655,0.28570979601239616,0.16511669237457519,0.009899697825649766,0.6763089099361832,200,0,
AAPL,45,0.02,0.5499999999999999,0.615,0.0,0.0,0.0,0.0,0.5,0.385,0.46008317784288016,0.21449416469141586,0.033224219971006164,0.8693331519011231,200,0,
AAPL,45,0.03,0.49999999999999994,0.585,0.005,1.0,0.008547008547008548,0.01694915254237288,0.5042735042735043,0.42,0.46124851601271843,0.21675692086875653,0.04574637461434542,0.8088709833698949,200,1,
AAPL,45,0.05,0.44999999999999996,0.49,0.0,0.0,0.0,0.0,0.5,0.51,0.41191335628146525,0.20364806420971052,0.029038747815110687,0.8262402628927212,200,0,
AAPL,45,0.07,0.39999999999999997,0.43,0.0,0.0,0.0,0.0,0.5,0.57,0.42840242174833876,0.1978504583977344,0.07354296334178863,0.8143204335612046,200,0,
AAPL,60,0.02,0.5999999999999999,0.59,0.0,0.0,0.0,0.0,0.5,0.41,0.5329684637982767,0.16646300923745522,0.20460576707287217,0.8280519991581017,200,0,
AAPL,60,0.03,0.49999999999999994,0.555,0.0,0.0,0.0,0.0,0.5,0.445,0.5125661821002607,0.15576476649754295,0.1919222978315338,0.8314286076229044,200,0,
AAPL,60,0.05,0.39999999999999997,0.495,0.0,0.0,0.0,0.0,0.5,0.505,0.4437555606476007,0.1501593040858964,0.16174346338959764,0.8224423592176205,200,0,
AAPL,60,0.07,0.5499999999999999,0.445,0.0,0.0,0.0,0.0,0.5,0.555,0.39671602209743867,0.17318926520768724,0.11086634563995613,0.8447059197480551,200,0,
MSFT,10,0.02,0.35,0.345,0.015,0.0,0.0,0.0,0.48854961832061067,0.64,0.5068061467453373,0.12929789591436744,0.25784332506340585,0.8032281897918379,200,3,
MSFT,10,0.03,0.3,0.275,0.045,0.0,0.0,0.0,0.4689655172413793,0.68,0.47747012228968194,0.1510379579931564,0.12551664995349246,0.8668961784717718,200,9,
MSFT,10,0.05,0.3,0.135,0.0,0.0,0.0,0.0,0.5,0.865,0.30738566418416996,0.1411021126174205,0.03905502641070568,0.6415999751710373,200,0,
