stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
AAPL,10,0.02,0.15000000000000002,0.465,0.25,0.34,0.1827956989247312,0.23776223776223776,0.43719224198573003,0.455,0.5987228,0.23829353,0.07690115,0.94373506,200,50,
AAPL,10,0.03,0.45,0.365,0.25,0.28,0.1917808219178082,0.22764227642276422,0.45415812749433715,0.525,0.5789839,0.27292955,0.07612304,0.97927356,200,50,
AAPL,10,0.05,0.5,0.23,0.25,0.26,0.2826086956521739,0.2708333333333333,0.5211744776962168,0.65,0.41197473,0.25924972,0.011715293,0.9646001,200,50,
AAPL,10,0.07,0.15000000000000002,0.15,0.25,0.24,0.4,0.3,0.5882352941176471,0.72,0.33345607,0.29372904,0.0030865606,0.9764971,200,50,
AAPL,20,0.02,0.7000000000000001,0.535,0.25,0.52,0.24299065420560748,0.33121019108280253,0.4924630690382876,0.475,0.65005714,0.3040003,0.01946011,0.9784631,200,50,
AAPL,20,0.03,0.9000000000000001,0.485,0.25,0.56,0.28865979381443296,0.38095238095238093,0.5375337804023621,0.545,0.601115,0.2981221,0.009110912,0.96307373,200,50,
AAPL,20,0.05,0.8500000000000001,0.405,0.25,0.64,0.3950617283950617,0.48854961832061067,0.6219006120966906,0.665,0.46192124,0.35049927,0.003732697,0.9868526,200,50,
AAPL,20,0.07,0.9000000000000001,0.32,0.25,0.64,0.5,0.5614035087719298,0.6838235294117647,0.75,0.38276935,0.3235305,0.0060319155,0.9575772,200,50,
AAPL,30,0.02,0.9000000000000001,0.54,0.25,0.7,0.32407407407407407,0.4430379746835443,0.5805152979066023,0.56,0.5953666,0.3126017,0.043206714,0.9605369,200,50,
AAPL,30,0.03,0.55,0.485,0.25,0.64,0.32989690721649484,0.43537414965986393,0.5775698128315484,0.585,0.5493217,0.2985598,0.021357134,0.9662389,200,50,
AAPL,30,0.05,0.5,0.41,0.25,0.6,0.36585365853658536,0.45454545454545453,0.5981810665564282,0.64,0.4926267,0.31913346,0.009486623,0.9680063,200,50,
AAPL,30,0.07,0.7000000000000001,0.345,0.25,0.58,0.42028985507246375,0.48739495798319327,0.6299922557805067,0.695,0.33399922,0.32455567,0.0017598573,0.94959563,200,50,
AAPL,45,0.02,0.7000000000000001,0.615,0.25,0.76,0.3089430894308943,0.4393063583815029,0.5765494667933693,0.515,0.5759995,0.34599245,0.0045788623,0.9824011,200,50,
AAPL,45,0.03,0.9000000000000001,0.585,0.25,0.72,0.3076923076923077,0.4311377245508982,0.5695088044485634,0.525,0.5739606,0.3641833,0.0035574243,0.9943375,200,50,
AAPL,45,0.05,0.9000000000000001,0.49,0.25,0.76,0.3877551020408163,0.5135135135135135,0.6350540216086434,0.64,0.5570575,0.3632762,0.0019679638,0.98291653,200,50,
AAPL,45,0.07,0.6000000000000001,0.43,0.25,0.68,0.3953488372093023,0.5,0.62749898000816,0.66,0.56254,0.369275,0.004418945,0.97299474,200,50,
AAPL,60,0.02,0.8500000000000001,0.59,0.25,0.6,0.2542372881355932,0.35714285714285715,0.5051674245556015,0.46,0.638793,0.32565838,0.009630573,0.99272585,200,50,
AAPL,60,0.03,0.8,0.555,0.25,0.62,0.27927927927927926,0.38509316770186336,0.5328980666059318,0.505,0.6650677,0.30729583,0.015136436,0.99405175,200,50,
AAPL,60,0.05,0.4,0.495,0.25,0.74,0.37373737373737376,0.4966442953020134,0.6225122512251225,0.625,0.5275842,0.31346834,0.010197054,0.99354976,200,50,
AAPL,60,0.07,0.8500000000000001,0.445,0.25,0.82,0.4606741573033708,0.5899280575539568,0.6897965381111448,0.715,0.4981177,0.36131358,0.0045485985,0.9968923,200,50,
MSFT,10,0.02,0.7000000000000001,0.345,0.25,0.28,0.2028985507246377,0.23529411764705882,0.4640446952096471,0.545,0.62746096,0.23217204,0.052536078,0.9688714,200,50,
MSFT,10,0.03,0.1,0.275,0.25,0.18,0.16363636363636364,0.17142857142857143,0.44043887147335425,0.565,0.6417505,0.24700953,0.031807184,0.9824163,200,50,
MSFT,10,0.05,0.05,0.135,0.25,0.12,0.2222222222222222,0.15584415584415584,0.48394348105330764,0.675,0.47603476,0.31774017,0.016270705,0.96164894,200,50,
MSFT,10,0.07,0.1,0.03,0.25,0.06,0.5,0.10714285714285714,0.6288659793814433,0.75,0.25359204,0.23802204,0.0036121209,0.91300505,200,50,
MSFT,20,0.02,0.35000000000000003,0.415,0.25,0.72,0.43373493975903615,0.5413533834586466,0.6570384100504583,0.695,0.70039505,0.19380248,0.21987967,0.9727173,200,50,
MSFT,20,0.03,0.2,0.33,0.25,0.56,0.42424242424242425,0.4827586206896552,0.6300316598824062,0.7,0.6620369,0.2037952,0.07107751,0.9642304,200,50,
MSFT,20,0.05,0.8,0.175,0.25,0.44,0.6285714285714286,0.5176470588235295,0.7294372294372294,0.795,0.62647307,0.26167223,0.0069995946,0.97447044,200,50,
MSFT,20,0.07,0.05,0.06,0.25,0.04,0.16666666666666666,0.06451612903225806,0.4556737588652482,0.71,0.50200593,0.31157383,0.004426499,0.95244455,200,50,
MSFT,30,0.02,0.25,0.375,0.25,0.44,0.29333333333333333,0.352,0.5346666666666666,0.595,0.7291502,0.1966279,0.21760017,0.9866807,200,50,
MSFT,30,0.03,0.3,0.325,0.25,0.3,0.23076923076923078,0.2608695652173913,0.48575498575498577,0.575,0.6614372,0.21173462,0.11025477,0.96899456,200,50,
MSFT,30,0.05,0.15000000000000002,0.2,0.25,0.32,0.4,0.35555555555555557,0.59375,0.71,0.5529126,0.30006683,0.03318746,0.99201035,200,50,
MSFT,30,0.07,0.15000000000000002,0.145,0.25,0.14,0.2413793103448276,0.17721518987341772,0.494958661020367,0.675,0.49242377,0.2448261,0.05273656,0.95515233,200,50,
MSFT,45,0.02,0.05,0.315,0.25,0.2,0.15873015873015872,0.17699115044247787,0.43337967790522536,0.535,0.80017763,0.16933419,0.13671227,0.98904747,200,50,
MSFT,45,0.03,0.05,0.27,0.25,0.08,0.07407407407407407,0.07692307692307693,0.37950279046169455,0.52,0.8335852,0.15813713,0.26807445,0.9949207,200,50,
MSFT,45,0.05,0.2,0.17,0.25,0.1,0.14705882352941177,0.11904761904761904,0.4379872430900071,0.63,0.68944323,0.22580592,0.07679201,0.98570037,200,50,
MSFT,45,0.07,0.15000000000000002,0.13,0.25,0.1,0.19230769230769232,0.13157894736842105,0.46684350132625996,0.67,0.70419085,0.27841014,0.05699995,0.98114336,200,50,
MSFT,60,0.02,0.05,0.28,0.25,0.1,0.08928571428571429,0.09433962264150944,0.38839285714285715,0.52,0.7389169,0.20630777,0.040689778,0.9826308,200,50,
MSFT,60,0.03,0.05,0.255,0.25,0.08,0.0784313725490196,0.07920792079207921,0.3848532701671272,0.535,0.62254107,0.22934273,0.06368708,0.9809537,200,50,
MSFT,60,0.05,0.05,0.165,0.25,0.06,0.09090909090909091,0.07228915662650602,0.404735982580294,0.615,0.7419475,0.22240224,0.06486773,0.9812991,200,50,
MSFT,60,0.07,0.05,0.115,0.25,0.02,0.043478260869565216,0.0273972602739726,0.3833210513387374,0.645,0.5425353,0.27852488,0.05157678,0.96666133,200,50,
NVDA,10,0.02,0.4,0.465,0.25,0.38,0.20430107526881722,0.26573426573426573,0.45729072455029646,0.475,0.5158673,0.20550296,0.07433054,0.8729213,200,50,
NVDA,10,0.03,0.25,0.44,0.25,0.38,0.2159090909090909,0.2753623188405797,0.4695616883116883,0.5,0.49410346,0.2050706,0.0833131,0.89638436,200,50,
NVDA,10,0.05,0.1,0.335,0.25,0.26,0.19402985074626866,0.2222222222222222,0.45791718101223206,0.545,0.39471912,0.24970552,0.03615587,0.91133094,200,50,
NVDA,10,0.07,0.15000000000000002,0.275,0.25,0.28,0.2545454545454545,0.26666666666666666,0.5031347962382444,0.615,0.37001202,0.23775785,0.049607914,0.9317136,200,50,
NVDA,20,0.02,0.25,0.515,0.25,0.28,0.13592233009708737,0.1830065359477124,0.3823941547392653,0.375,0.6074495,0.25182638,0.073743455,0.9507344,200,50,
NVDA,20,0.03,0.15000000000000002,0.49,0.25,0.18,0.09183673469387756,0.12162162162162163,0.344937975190076,0.35,0.60233855,0.24404772,0.100532606,0.9542782,200,50,
NVDA,20,0.05,0.05,0.43,0.25,0.32,0.18604651162790697,0.23529411764705882,0.4439004487964096,0.48,0.40319538,0.24159296,0.051173225,0.94196427,200,50,
NVDA,20,0.07,0.8500000000000001,0.375,0.25,0.24,0.16,0.192,0.428,0.495,0.41662568,0.30732453,0.014573565,0.9268707,200,50,
NVDA,30,0.02,0.05,0.47,0.25,0.36,0.19148936170212766,0.25,0.44480128462464874,0.46,0.45206422,0.3005099,0.010855835,0.97621983,200,50,
NVDA,30,0.03,0.05,0.455,0.25,0.26,0.14285714285714285,0.18439716312056736,0.4017038007863696,0.425,0.5315064,0.356377,0.014178637,0.99077034,200,50,
