stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
AAPL,45,0.03,0.49999999999999994,0.585,0.005,1.0,0.008547008547008548,0.01694915254237288,0.5042735042735043,0.42,0.46124851601271843,0.21675692086875653,0.04574637461434542,0.8088709833698949,200,1,
AAPL,10,0.02,0.35,0.465,0.0,0.0,0.0,0.0,0.5,0.535,0.48503251864848823,0.1279342978126463,0.2124820197483882,0.7449677008016983,200,0,
AMD,10,0.02,0.3,0.305,0.045,0.2222222222222222,0.03278688524590164,0.05714285714285714,0.4912135865078429,0.67,0.4163295069871914,0.1792183363543968,0.11517448000476097,0.7847023527122942,200,9,
AMD,10,0.03,0.3,0.275,0.045,0.1111111111111111,0.01818181818181818,0.03125,0.48150470219435737,0.69,0.39179510249607574,0.19333967096265975,0.09329414733033049,0.8026592004523259,200,9,
AMZN,60,0.02,0.49999999999999994,0.415,0.025,1.0,0.060240963855421686,0.11363636363636363,0.5301204819277109,0.61,0.4243024662696827,0.10655185437066397,0.13020350736056788,0.6470117725914639,200,5,
AMZN,60,0.03,0.44999999999999996,0.38,0.02,0.75,0.039473684210526314,0.075,0.515704584040747,0.63,0.4105294956725248,0.12114866972246727,0.15242841938636642,0.729535787091713,200,4,
GOOGL,60,0.03,0.39999999999999997,0.35,0.175,0.37142857142857144,0.18571428571428572,0.24761904761904763,0.5082417582417582,0.605,0.538395300934869,0.2784619915565306,0.12127327123267413,0.9903794648842644,200,35,
GOOGL,60,0.05,0.3,0.335,0.115,0.43478260869565216,0.14925373134328357,0.2222222222222222,0.5257546852205139,0.65,0.43000220603012634,0.2541011795830074,0.06291653722860308,0.9846231954062669,200,23,
META,45,0.03,0.5999999999999999,0.48,0.065,0.6923076923076923,0.09375,0.1651376146788991,0.5276442307692308,0.545,0.6303027740492062,0.22939462536537142,0.16178663014448472,0.9849293085135354,200,13,
META,45,0.05,0.5499999999999999,0.38,0.05,0.7,0.09210526315789473,0.16279069767441862,0.533955857385399,0.64,0.5379849660758523,0.20833219415129806,0.18553135316426497,0.9598431525617085,200,10,
MSFT,20,0.05,0.35,0.175,0.055,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.6051948051948052,0.85,0.49163712154893313,0.1494300834439633,0.06804107704319792,0.7772195212545094,200,11,
MSFT,30,0.05,0.35,0.2,0.04,0.625,0.125,0.20833333333333334,0.553125,0.81,0.4361942947257309,0.17102483987689457,0.13803952777547554,0.9113245008568327,200,8,
NVDA,10,0.02,0.49999999999999994,0.465,0.04,0.875,0.07526881720430108,0.13861386138613863,0.5329615114058889,0.565,0.5092818737012093,0.10874734003429717,0.24594102723550842,0.7427647902929021,200,8,
NVDA,60,0.02,0.49999999999999994,0.565,0.075,0.5333333333333333,0.07079646017699115,0.125,0.4951683450310243,0.44,0.5790816355180461,0.2549678833957822,0.014587334517583246,0.9069309691368967,200,15,
QQQ,60,0.03,0.7,0.495,0.425,0.3764705882352941,0.32323232323232326,0.34782608695652173,0.39923992399239927,0.4,0.6958742116306829,0.11069213149260886,0.3556386463792673,0.8657472519297291,200,85,
QQQ,30,0.02,0.49999999999999994,0.545,0.175,0.5714285714285714,0.1834862385321101,0.2777777777777778,0.5093255368484726,0.48,0.5209223001759272,0.19683412801411973,0.17188668877116006,0.8846297694843482,200,35,
SPY,60,0.03,0.44999999999999996,0.57,0.145,0.6551724137931034,0.16666666666666666,0.26573426573426573,0.5251937984496124,0.475,0.4790004088376198,0.16351436953157933,0.12231991753052868,0.8422004821008418,200,29,
SPY,60,0.02,0.49999999999999994,0.645,0.11,0.5,0.08527131782945736,0.1456953642384106,0.46517087018233433,0.355,0.5076342726146938,0.1432364083442263,0.17380408861703495,0.847641142095955,200,22,
TSLA,60,0.07,0.44999999999999996,0.57,0.02,1.0,0.03508771929824561,0.06779661016949153,0.5175438596491229,0.45,0.3437665028463331,0.217363888645059,0.043400122588794506,0.9625077860810376,200,4,
TSLA,60,0.05,0.39999999999999997,0.59,0.02,1.0,0.03389830508474576,0.06557377049180328,0.5169491525423728,0.43,0.3428151324995827,0.20137119946978813,0.03741464851763157,0.9635610167122415,200,4,
