stock,horizon,target_threshold,best_threshold,test_positive_rate,signal_rate,precision,recall,f1,balanced_accuracy,accuracy,proba_mean,proba_std,proba_min,proba_max,n_test,n_signals,error
AAPL,60,0.07,0.8500000000000001,0.445,0.25,0.82,0.4606741573033708,0.5899280575539568,0.6897965381111448,0.715,0.4981177,0.36131358,0.0045485985,0.9968923,200,50,
AAPL,20,0.07,0.9000000000000001,0.32,0.25,0.64,0.5,0.5614035087719298,0.6838235294117647,0.75,0.38276935,0.3235305,0.0060319155,0.9575772,200,50,
AMD,10,0.03,0.05,0.275,0.25,0.24,0.21818181818181817,0.22857142857142856,0.4780564263322884,0.595,0.49085137,0.30314428,0.030009774,0.96604776,200,50,
AMD,10,0.02,0.05,0.305,0.25,0.24,0.19672131147540983,0.21621621621621623,0.46167000825569054,0.565,0.46406245,0.28424582,0.030364126,0.9431956,200,50,
AMZN,10,0.05,0.1,0.255,0.25,0.52,0.5098039215686274,0.5148514851485149,0.6743650480326359,0.755,0.24901813,0.22265786,0.0077331453,0.86536145,200,50,
AMZN,10,0.03,0.4,0.38,0.25,0.6,0.39473684210526316,0.47619047619047616,0.616723259762309,0.67,0.3038231,0.23781735,0.019566238,0.84533644,200,50,
GOOGL,10,0.03,0.5,0.38,0.25,0.56,0.3684210526315789,0.4444444444444444,0.5955008488964346,0.65,0.4954963,0.22122613,0.028716488,0.8888836,200,50,
GOOGL,10,0.02,0.7500000000000001,0.45,0.25,0.52,0.28888888888888886,0.37142857142857144,0.5353535353535354,0.56,0.43028986,0.18907492,0.10365341,0.87318975,200,50,
META,45,0.03,0.05,0.48,0.25,0.52,0.2708333333333333,0.3561643835616438,0.5200320512820513,0.53,0.7659427,0.2780058,0.022701342,0.9990252,200,50,
META,45,0.02,0.05,0.51,0.25,0.54,0.2647058823529412,0.35526315789473684,0.5150060024009604,0.51,0.56775975,0.32266277,0.03727818,0.9981493,200,50,
MSFT,20,0.02,0.35000000000000003,0.415,0.25,0.72,0.43373493975903615,0.5413533834586466,0.6570384100504583,0.695,0.70039505,0.19380248,0.21987967,0.9727173,200,50,
MSFT,20,0.05,0.8,0.175,0.25,0.44,0.6285714285714286,0.5176470588235295,0.7294372294372294,0.795,0.62647307,0.26167223,0.0069995946,0.97447044,200,50,
NVDA,30,0.05,0.05,0.435,0.25,0.4,0.22988505747126436,0.291970802919708,0.48219916590377376,0.515,0.5781856,0.32124877,0.02455585,0.9940831,200,50,
NVDA,45,0.05,0.05,0.5,0.25,0.42,0.21,0.28,0.45999999999999996,0.46,0.55400485,0.33395296,0.0102214785,0.9899183,200,50,
QQQ,10,0.02,0.15000000000000002,0.4,0.25,0.56,0.35,0.4307692307692308,0.5833333333333333,0.63,0.56984335,0.26767993,0.02159672,0.96276367,200,50,
QQQ,45,0.05,0.35000000000000003,0.38,0.25,0.5,0.32894736842105265,0.3968253968253968,0.5636672325976231,0.62,0.6210264,0.25054047,0.02612258,0.97858894,200,50,
SPY,30,0.03,0.05,0.455,0.25,0.56,0.3076923076923077,0.3971631205673759,0.5529287226534934,0.575,0.11987213,0.16420051,0.0048975446,0.8139148,200,50,
SPY,30,0.02,0.05,0.53,0.25,0.58,0.27358490566037735,0.3717948717948718,0.5250903251706142,0.51,0.26160896,0.18307786,0.02382465,0.8231309,200,50,
TSLA,60,0.07,0.6000000000000001,0.57,0.25,0.96,0.42105263157894735,0.5853658536585366,0.6988984088127295,0.66,0.25771588,0.3170646,0.0035106775,0.992566,200,50,
TSLA,60,0.05,0.25,0.59,0.25,0.98,0.4152542372881356,0.5833333333333334,0.701529557668458,0.65,0.22815964,0.28286397,0.0040103295,0.9965108,200,50,
